id,change_DMN
1,-0.04492222
2,-0.113696025
3,-0.110516032
4,0.101195317
5,NA
6,-0.195034167
7,NA
8,-0.025073098
9,0.058207675
10,NA
11,NA
12,0
13,0.049933389
14,-0.126079486
15,-0.287660159
16,0.214484288
17,-0.025467899
18,NA
19,0.151921832
20,0.123610509
21,-0.09961911
22,-0.104156073
23,NA
24,NA
25,NA
26,NA
27,0.081037192
28,0.063562219
29,0.04908192
30,0.175214464
31,0.357035923
32,0.187684117
33,-0.074524635
34,0.123610509
35,NA
36,0.224954125
37,NA
38,0.147283558
39,-0.064346557
40,-0.158571442
41,-0.08246202
42,0.08883908
43,0.03007004
44,NA
45,-0.168822117
46,-0.078033123
47,0.171619056
48,-0.033117153
49,0.053872633
50,0.065424971
51,0.13918514
52,NA
53,-0.060454199
54,0.119161312
55,-0.039760505
56,0.028375145
57,0.171374754
58,0.030225231
59,-0.043407537
60,-0.005511643
61,0.08831928
62,0.021900296
65,-0.019848782
66,0.12977382
67,-0.05642588
68,0.08372345
69,NA
70,NA
71,NA
72,-0.151508096
73,-0.096527146
74,0.102986402
75,0.166951208
76,NA
77,NA
78,0.047339392
79,0.088384551
80,-0.183755901
81,0.08375803
82,NA
83,0.171645616
84,NA
85,0.159491029
86,0.258956039
87,NA
88,-0.007704333
89,NA
90,0.088993515
91,0.054972273
92,-0.168947613
93,0.035102728
94,0.12884206
95,NA
96,0.096452502
97,0.135007405
98,0.03072358
99,-0.010257293
100,NA
101,0.127991304
102,NA
103,0.251638512
104,0.040692415
105,-0.003727183
106,0.149272892
107,-0.049992015
108,-0.101809223
109,0.074593093
110,NA
111,NA
112,0.164885553
113,-0.031719082
114,0.202212189
115,-0.049443422
116,-0.148553564
117,NA
118,NA
119,0.054651458
120,0.043941525
121,0.325102331
122,NA
123,0.137169278
124,-0.081855103
125,-0.349500854
126,-0.261782346
127,NA
128,-0.096906806
129,NA
130,NA
131,-0.022792617
132,0.339316589
134,-0.049289702
135,-0.054373029
136,-0.102641579
137,NA
138,0.067172754
139,0.001656259
140,NA
141,NA
142,-0.042420147
143,-0.066116954
144,-0.031463743
145,-0.099015176
146,0.204528856
147,-0.106474954
148,-0.0545457
149,-0.32650749
150,-0.198338968
151,NA
152,NA
153,-0.32894205
154,-0.117085505
155,NA
156,0.150489101
157,0.277760167
158,NA
159,NA
160,0.114617165
161,0.081053743
162,0.078757956
163,NA
164,-0.204688564
165,NA
166,-0.016175804
167,NA
168,NA
169,NA
170,-0.146811061
171,NA
172,NA
173,NA
174,-0.084577422
175,NA
176,0.020433458
177,NA
178,-0.018096545
179,NA
180,-0.218566241
181,NA
182,NA
183,NA
184,NA
185,0.336076987
186,-0.140138303
187,0.096328783
188,0.211078235
189,-0.055283804
190,-0.04175943
191,-0.188544338
192,NA
193,0.010945846
194,0.099802069
195,-0.033725467
196,NA
197,NA
198,NA
199,NA
200,NA
201,-0.038749199
202,0.185966116
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
