id,change_Rcaud.frontal_RD
1,-4.00E-06
2,2.90E-05
3,-5.00E-05
4,0.000015
5,NA
6,1.00E-06
7,NA
8,0.000037
9,-0.000024
10,NA
11,NA
12,-4.00E-05
13,-0.000012
14,-0.000018
15,0.000061
16,-0.000009
17,1.10E-05
18,NA
19,-0.00003
20,0
21,-2.00E-05
22,-0.000021
23,NA
24,NA
25,NA
26,NA
27,-5.20E-05
28,3.10E-05
29,-0.000026
30,-8.00E-06
31,-0.000063
32,-0.000009
33,-0.000022
34,1.00E-06
35,NA
36,-3.10E-05
37,NA
38,1.60E-05
39,-0.000031
40,2.60E-05
41,3.00E-06
42,-0.000016
43,-2.90E-05
44,NA
45,-8.00E-06
46,-0.000072
47,1.20E-05
48,2.00E-06
49,-3.00E-05
50,-0.000015
51,-1.30E-05
52,NA
53,0.000019
54,-2.10E-05
55,0.000028
56,-4.40E-05
57,-0.000018
58,0.000076
59,0.000018
60,4.70E-05
61,-0.000043
62,0.000026
65,0.000022
66,-1.10E-05
67,-0.00004
68,0.000031
69,NA
70,NA
71,NA
72,0.000062
73,0.000017
74,-0.00001
75,0.000049
76,NA
77,NA
78,3.40E-05
79,2.20E-05
80,3.00E-06
81,-0.000012
82,NA
83,-4.00E-06
84,NA
85,0.000027
86,-2.00E-06
87,NA
88,0.000066
89,NA
90,0.000022
91,-2.20E-05
92,2.00E-06
93,-0.000015
94,4.40E-05
95,NA
96,0.000014
97,-0.000021
98,0
99,-6.00E-06
100,NA
101,-0.000017
102,NA
103,2.10E-05
104,0.000023
105,0.000017
106,4.00E-06
107,-8.00E-06
108,0.000024
109,-3.00E-06
110,NA
111,NA
112,-0.000054
113,4.00E-06
114,0.000035
115,2.20E-05
116,-5.20E-05
117,NA
118,NA
119,-6.00E-06
120,-1.00E-06
121,-1.60E-05
122,NA
123,0.00004
124,-3.00E-05
125,-5.10E-05
126,0.000015
127,NA
128,0.000017
129,NA
130,NA
131,-2.00E-06
132,-0.000027
134,3.10E-05
135,-0.000023
136,-0.000052
137,NA
138,-0.000023
139,3.10E-05
140,NA
141,NA
142,3.80E-05
143,-0.000059
144,-0.000053
145,-0.000072
146,0
147,-8.00E-06
148,0.000009
149,3.80E-05
150,-1.20E-05
151,NA
152,NA
153,-0.000112
154,7.00E-06
155,NA
156,0.000022
157,-2.00E-06
158,NA
159,NA
160,4.70E-05
161,3.70E-05
162,0.000049
163,NA
164,0.000016
165,NA
166,1.30E-05
167,NA
168,NA
169,NA
170,4.70E-05
171,NA
172,NA
173,NA
174,3.00E-05
175,NA
176,-3.80E-05
177,NA
178,-8.10E-05
179,NA
180,-2.20E-05
181,NA
182,NA
183,NA
184,NA
185,2.20E-05
186,-5.00E-06
187,0
188,-0.000026
189,0.000022
190,-0.000138
191,0.00004
192,NA
193,6.00E-06
194,-3.00E-05
195,0.000027
196,NA
197,NA
198,NA
199,NA
200,NA
201,0
202,1.10E-05
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
237,NA
238,NA
246,NA
247,NA
250,NA
251,NA
252,NA
255,NA
256,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
265,NA
