id,change_fssrtnr_t
1,-53
2,43
3,12
4,32.53847
5,34
6,170
7,94
8,-46
9,-81
10,3.11765
11,-66
12,34
13,38.38461
14,-116
15,-71.15384
16,7.29411
17,17.62442
18,-121.64706
19,-13
20,9
21,-5
22,-8
23,70.75
24,74
25,-43.38461
26,-21.26315
27,57.07692
28,59
29,37.33333
30,-109
31,-16
32,-4
33,77
34,-15
35,6.92307
36,8.92307
37,-222.76923
38,40
39,-90
40,-87.23077
41,23
42,138.11111
43,57
44,122.88889
45,115
46,-149
47,-96
48,80.07692
49,-129
50,-76
51,-93.47058
52,-78.91667
53,17
54,-1.76923
55,169.53847
56,-142.94231
57,-110.07692
58,68.92308
59,-115
60,119
61,-68
62,-64.23529
65,-11
66,2.38461
67,37.23077
68,24
69,-87.17093
70,6
71,-144.61539
72,-11.89474
73,12.46153
74,-15.52942
75,83.92308
76,-56.94116
77,-51.84616
78,-119
79,0
80,-5.84616
81,14.30769
82,-21.30769
83,63.76923
84,-57
85,-64
86,-104.23077
87,NA
88,18
89,NA
90,43
91,-64.30769
92,161.15385
93,3
94,-66
95,22.46152
96,24
97,56
98,23
99,-80
100,-99.38461
101,-105.69229
102,138
103,-5.07693
104,33
105,38
106,-103
107,-174.76471
108,88.15384
109,11.92308
110,123
111,-110.55556
112,129.76923
113,87
114,91.07693
115,8
116,68
117,21.23077
118,-13
119,-115.38461
120,-87.92308
121,-230
122,-50
123,-96
124,51.22223
125,-80.42105
126,-30.08145
127,-24
128,-16
129,-33
130,-112
131,-100.76923
132,89
134,-23.47965
135,-121
136,-146
137,34.86323
138,101.21054
139,56
140,-137
141,-18.22223
142,103.8326
143,-48.15384
144,41.84616
145,-173
146,-13.22223
147,-17.58823
148,-26.85469
149,-38
150,-45.78947
151,-56.77777
152,203.88889
153,42
154,74.10526
155,NA
156,-63.10256
157,17.44446
158,NA
159,79.19231
160,-125.52942
161,67.18804
162,-84.53845
163,-25.52942
164,-173.47058
165,-69.82352
166,-77.16744
167,36.05882
168,NA
169,NA
170,-5.11111
171,-131.22223
172,16.25
173,-127.5
174,-46.77777
175,NA
176,-132
177,-135
178,15.61133
179,-46
180,49.15384
181,NA
182,86.88461
183,-79.23077
184,-39.94737
185,-2.66667
186,49.82352
187,31.41177
188,11
189,-114.43589
190,51.58824
191,-64.16599
192,NA
193,-128.25
194,-112.28508
195,-21.77777
196,97
197,-75.58974
198,NA
199,-25.58824
200,NA
201,114.77777
202,-60.88889
203,-50.52632
204,2.5
205,NA
206,NA
207,NA
208,-0.86929
209,14.88888
210,NA
211,NA
212,NA
213,105.42105
214,-113.29413
215,NA
216,NA
217,-12.25
218,NA
219,NA
220,NA
221,53.84315
222,-98.76471
223,23.72549
224,NA
225,NA
226,-5.35294
227,NA
228,-98.77779
229,NA
230,NA
231,NA
232,-141.21051
233,2.43276
234,NA
235,NA
237,60.92982
238,-9.11111
246,69.26315
247,-21.66667
250,-133.84212
251,-15.33333
252,-94.36844
255,-31.73685
256,NA
258,NA
259,NA
260,-138.414866
261,30.17647
262,NA
263,NA
265,NA
